filename,peak KAM1 Actual,peak KAM1 Predict,peak KAM2 Actual,peak KAM2 Predict
L_bb46f8a2-6d16-47d8-aac0-1b46d79d3e1f_model.csv,4.0255885,3.4917312,3.8543499,3.2726595
L_c20d527a-043a-4326-a1dc-6cd0baa8e279_model.csv,2.4858727,2.5199714,1.5573447,1.6739252
L_c3aa7d2d-74ac-43b7-814f-9107b8dad755_model.csv,3.5918565,3.3773386,4.8807807,4.0094004
L_c6205bc4-7fd6-4955-8e07-a53a5040ee4c_model.csv,4.445076,4.0311103,3.998321,3.2396104
L_ca48fb14-195b-4a57-a207-d5bbb9fbbf08_model.csv,2.4401293,2.511209,2.1862843,2.3860304
L_ca6361d9-1a34-4101-90ce-35d7cd3fbfb0_model.csv,3.9572225,3.979081,2.7237508,3.200691
L_cd81309e-3418-4213-a10d-b9363c0189b9_model.csv,5.4429526,4.646949,6.1134787,4.8115964
L_cdd661af-6385-49c8-af6d-7e39b8914637_model.csv,3.97655,4.4697695,4.414924,4.376026
L_cffa1787-9311-4c9c-8470-1a20890e60ea_model.csv,4.97137,4.5956593,2.588446,3.0212352
L_d14b0fca-e679-461e-96b8-ff510c2c018f_model.csv,3.8013542,3.351015,3.6038585,3.0729733
L_d181ccf0-4d0c-4821-b416-67234550ac41_model.csv,1.3534651,1.6478969,0.5531714,1.0652268
L_d42dd8da-9528-4290-a672-510c0485ad9b_model.csv,3.2656329,2.9334505,3.5908282,3.6192465
L_d577f240-6259-4c53-86ba-75c39ab7ce49_model.csv,3.031456,2.7019565,1.8131248,2.4874506
L_d5e3620d-3723-41c7-b5ab-2d05a225f63f_model.csv,3.2000937,3.1477497,2.7854445,3.1108005
L_d6beebe6-bff9-4731-a985-19f5f4429ee1_model.csv,5.4857755,5.4065294,5.1703568,5.1916676
L_d7954396-adf1-43e3-b7b7-794a56ff06bf_model.csv,4.1441064,4.0186734,2.7659144,2.5920124
L_d798c2ef-39bd-4817-8ce1-3637936c5a14_model.csv,3.3793352,3.2706912,5.4137325,5.119174
L_d9bcd9d7-b0da-49b2-95fd-b4b928207baf_model.csv,3.8226712,3.814459,2.697205,2.6341405
L_d9d3d218-02d2-47e0-84dc-f76d817f6d27_model.csv,3.8485737,3.5506084,3.3832638,3.5670958
L_da7876f2-8aae-467d-8650-3802c7a1dcda_model.csv,7.4353523,8.0553875,7.5508895,7.536678
L_dd16b33b-a9b1-4ed0-9031-440f30149544_model.csv,1.5718168,1.47582,2.083373,2.1549428
L_e21208b9-fec0-462d-b2ba-495a9dc776cf_model.csv,3.3672323,3.474398,3.6949556,3.4452162
L_e554a8ea-cf5f-40a6-98a3-ebcdfc1b1fb3_model.csv,5.144571,5.8029804,5.8447146,5.728314
L_e680dda1-50b3-49a4-b094-127a719d4a8d_model.csv,3.889818,3.7136676,3.2187283,3.4726198
L_e6b0be9e-d039-4e4c-8420-5ad0c890571a_model.csv,4.7935224,5.1793184,5.199487,5.9308224
L_e82d629d-b787-41aa-a3a0-7b8746bd59f2_model.csv,4.9142394,4.083281,3.8571823,4.127943
L_e991430f-7354-4b5c-810a-ab08deef8aea_model.csv,10.821827,6.4375324,9.161455,5.781946
L_ea110dac-8dbf-4b1f-82bc-ce63a3aa19bb_model.csv,3.1883698,3.3493946,3.2144823,3.4111717
L_ed4ea1d1-33f4-4497-b661-139370f24c28_model.csv,5.0270176,5.764431,4.602345,4.10273
L_ed9714d2-a806-4229-98a3-156000fffe8b_model.csv,5.063957,5.0228243,3.7766714,4.11033
L_edfb7925-6bd7-402d-871f-320a2f17cf29_model.csv,3.6138752,2.7461107,3.0782812,3.054989
L_ef11d83b-a410-44a1-b321-f4f1d030fde0_model.csv,3.3730655,3.4057567,3.4765275,2.731186
L_f5f627b8-2e57-4aa4-b5b5-8a4f98dff990_model.csv,4.173079,4.7402287,5.249488,5.3074017
L_f6f7c946-ef67-47c0-8a89-b0e310b3ca1a_model.csv,5.4878507,4.4640994,5.052585,3.705067
L_f749b6b2-fb4c-4984-a96e-aebb3400a8eb_model.csv,1.8469559,2.7265377,2.5319638,2.9457166
L_f8f3bc25-42a5-4e8c-a8db-d6b0e7a581b4_model.csv,2.6517239,2.8412635,2.0750368,2.454481
L_f9737ce7-405c-4f77-8400-47f47d3a7a9b_model.csv,6.083856,6.2686305,5.2624288,5.7161894
L_fca6cbc2-f685-4aa5-9ebf-0cea31310dad_model.csv,9.705395,9.598325,7.7836986,8.051283
L_fca80978-6f22-4e26-b6dc-cc795884fa28_model.csv,5.6618724,4.1604095,6.9051003,5.7974596
L_fe593128-8683-4e26-a917-e8e570100944_model.csv,0.5797606,1.1710626,1.5107516,1.2769053
L_fedb71b8-abfb-4d0c-b877-e351190ae19b_model.csv,6.229204,5.634823,3.7156954,3.4614334
L_ff3d7eae-89db-4185-aa8f-f9c726d1801e_model.csv,4.879665,3.723317,3.8546135,3.2552953
L_ffb520cf-2cd2-4497-a980-c4efa74eb51a_model.csv,7.5951304,6.6141376,5.601691,3.6491203
R_015a373a-b03b-4b79-95ca-3bee5b61c408_model.csv,5.879639,6.1338224,5.4457154,5.475376
